rank,university_name,country
500,Jingdezhen University,China
500,Jining Normal University,China
500,Jining University,China
500,Jinzhong University,China
500,Kashi University,China
500,Lanzhou City University,China
500,Lanzhou Institute of Technology,China
500,Lanzhou University of Arts and Science,China
500,Liaodong University,China
500,Liaoning Institute of Science and Technology,China
500,Lyuliang University,China
500,Pingxiang University,China
500,Puer University,China
500,Shandong Agriculture and Engineering University,China
500,Shandong Youth University of Political Science,China
500,SHANDONG INSTITUTE OF PETROLEUM AND CHEMICAL TECHNOLOGY,China
500,Shangluo University,China
500,Modern College of Humanities and Sciences of Shanxi Normal University,China
500,Shanxi Institute of Technology,China
500,SHANXI COLLEGE OF TECHNOLOGY,China
500,Huake College of Taiyuan University of Science and Technology,China
500,Shanxi Institute of Energy,China
500,Shaanxi Xueqian Normal University,China
500,Sichuan Minzu College,China
500,Sichuan University of Arts and Science,China
500,Suihua University,China
500,Taiyuan University,China
500,Tangshan University,China
500,Tianjin Sino-German University of Applied Sciences,China
500,Wenshan University,China
500,Wuzhou University,China
500,Xingtai University,China
500,Xingyi Normal University for Nationalities,China
500,Xinjiang Institute of Engineering,China
500,Xinjiang Institute of Technology,China
500,Xinjiang Institute Of Political Science And Law,China
500,Xinyu University,China
500,Xinzhou Teachers University,China
500,Yuncheng University,China
500,Yuzhang Normal University,China
500,Zhangjiakou University,China
500,Zhaotong University,China
500,Zhengzhou University of Technology,China
500,Zhengzhou Normal University,China
